Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
07-Aug-25,Thursday,August,Q3,2025,EQ,145500.0,146130.0,143500.0,146385.0,144000.0,144265.0,144531.6,153000.0,102124.1,4325.0,3395.0
06-Aug-25,Wednesday,August,Q3,2025,EQ,147000.0,147385.0,145700.0,145845.0,146520.0,146385.0,146545.6,153000.0,102124.1,4222.0,2941.0
05-Aug-25,Tuesday,August,Q3,2025,EQ,144600.0,146280.0,144200.0,144285.0,145600.0,145845.0,145186.5,153000.0,102124.1,3962.0,3108.0
04-Aug-25,Monday,August,Q3,2025,EQ,145900.0,147195.0,143995.0,145905.0,144485.0,144285.0,145127.9,153000.0,102124.1,6882.0,4738.0
01-Aug-25,Friday,August,Q3,2025,EQ,148400.0,149180.0,145050.0,147845.0,145450.0,145905.0,146488.3,153000.0,102124.1,6369.0,4850.0
31-Jul-25,Thursday,July,Q3,2025,EQ,149050.0,149495.0,147200.0,150025.0,147990.0,147845.0,147931.1,153000.0,102124.1,6737.0,4653.0
30-Jul-25,Wednesday,July,Q3,2025,EQ,149960.0,150290.0,148600.0,149355.0,149950.0,150025.0,149696.3,153000.0,102124.1,3136.0,2547.0
29-Jul-25,Tuesday,July,Q3,2025,EQ,148300.0,150220.0,148015.0,147805.0,149270.0,149355.0,149083.8,153000.0,102124.1,4513.0,3386.0
28-Jul-25,Monday,July,Q3,2025,EQ,149500.0,150770.0,147205.0,149210.0,147500.0,147805.0,148912.3,153000.0,102124.1,4668.0,3753.0
25-Jul-25,Friday,July,Q3,2025,EQ,150800.0,151250.0,148425.0,150880.0,148755.0,149210.0,149842.4,153000.0,102124.1,4591.0,3370.0
24-Jul-25,Thursday,July,Q3,2025,EQ,149915.0,152190.0,149900.0,149915.0,150800.0,150880.0,151142.2,153000.0,102124.1,7838.0,5494.0
23-Jul-25,Wednesday,July,Q3,2025,EQ,148600.0,150300.0,148600.0,148170.0,149875.0,149915.0,149371.7,153000.0,102124.1,3588.0,2629.0
22-Jul-25,Tuesday,July,Q3,2025,EQ,148500.0,150900.0,147860.0,148405.0,148600.0,148170.0,149231.0,153000.0,102124.1,6764.0,4601.0
21-Jul-25,Monday,July,Q3,2025,EQ,148400.0,149000.0,146550.0,148060.0,148500.0,148405.0,147831.1,153000.0,102124.1,6592.0,4657.0
18-Jul-25,Friday,July,Q3,2025,EQ,150535.0,151500.0,147500.0,150535.0,148000.0,148060.0,149195.7,153000.0,102124.1,8078.0,5969.0
17-Jul-25,Thursday,July,Q3,2025,EQ,152100.0,152470.0,150005.0,152470.0,150110.0,150535.0,151340.5,153000.0,102124.1,6478.0,4631.0
16-Jul-25,Wednesday,July,Q3,2025,EQ,150200.0,153000.0,150200.0,150785.0,152175.0,152470.0,151675.4,153000.0,102124.1,7865.0,5535.0
15-Jul-25,Tuesday,July,Q3,2025,EQ,149530.0,151300.0,148270.0,148845.0,150700.0,150785.0,149893.3,151900.0,102124.1,9826.0,6520.0
14-Jul-25,Monday,July,Q3,2025,EQ,148240.0,150600.0,147005.0,148240.0,148210.0,148845.0,148862.3,151900.0,102124.1,11768.0,6940.0
11-Jul-25,Friday,July,Q3,2025,EQ,148280.0,148880.0,146200.0,148280.0,148150.0,148240.0,147602.1,151900.0,102124.1,7148.0,5357.0
10-Jul-25,Thursday,July,Q3,2025,EQ,150100.0,150700.0,147000.0,150715.0,148320.0,148280.0,148231.4,151900.0,102124.1,9580.0,7063.0
09-Jul-25,Wednesday,July,Q3,2025,EQ,144945.0,151900.0,144000.0,144945.0,150690.0,150715.0,149594.3,151900.0,102124.1,24541.0,14969.0
08-Jul-25,Tuesday,July,Q3,2025,EQ,143005.0,145555.0,142210.0,143135.0,144550.0,144945.0,144151.5,148075.0,102124.1,4391.0,3317.0
